Phase S;Phase G2M
RRM2;CENPF
PCNA;TPX2
SLBP;HMGB2
WDR76;UBE2C
CCNE2;BUB1B
GINS1;TOP2A
MCM5;CENPE
RFC1;TACC3
MCM4;BUB1
SLBP1;CKAP5
UNG;G2E3
Mcm5;AURKA
Pcna;LBR
Tyms;CDC20
Fen1;ECT2
Mcm2;KIF23
Mcm4;HMMR
Rrm1;CDK1
Ung;NEK2
Gins2;KIF2C
Mcm6;NCAPG
Cdca7;TTK
Dtl;CDCA3
Prim1;ANLN
Uhrf1;NCAPH
Hells;CDC25B
Rfc2;RANGAP1
Rpa2;Hmgb2
Nasp;Cdk1
Rad51ap1;Nusap1
Gmnn;Ube2c
Wdr76;Birc5
Slbp;Tpx2
Ccne2;Top2a
Ubr7;Ndc80
Pold3;Cks2
Msh2;Nuf2
Atad2;Cks1b
Rad51;Mki67
Rrm2;Tmpo
Cdc45;Cenpf
Cdc6;Tacc3
Exo1;Fam64a
Tipin;Smc4
Dscc1;Ccnb2
Blm;Ckap2l
Casp8ap2;Ckap2
Usp1;Aurkb
Clspn;Bub1
Pola1;Kif11
Chaf1b;Anp32e
Brip1;Tubb4b
E2f8;Gtse1
ENSGALG00000011747;Kif20b
H2AFJ;Hjurp
ENSGALG00000042491;Cdca3
HIST1H110;Hn1
;Cdc20
;Ttk
;Cdc25c
;Kif2c
;Rangap1
;Ncapd2
;Dlgap5
;Cdca2
;Cdca8
;Ect2
;Kif23
;Hmmr
;Aurka
;Psrc1
;Anln
;Lbr
;Ckap5
;Cenpe
;Ctcf
;Nek2
;G2e3
;Gas2l3
;Cbx5
;Cenpa
;SMC2
;SPC25
